priority,page_group,page_or_project,route,source_file,copy_section,copy_type,current_draft,what_i_need_from_you,example_answer,your_answer,codex_rewrite_notes
P1,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Outcome section,Case study body,This case study should show how digital design can clarify a specialized product without overcomplicating the experience.,"What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Cover image alt text,Accessibility copy,Healthcare professional reviewing digital medical information.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Gallery 01 caption,Image caption,Healthcare context requires clarity before visual flourish.,"What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Gallery 01 alt text,Accessibility copy,Medical technology and healthcare environment.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Gallery 02 caption,Image caption,Page modules organize technical information for users.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Gallery 02 alt text,Accessibility copy,Laptop workspace with digital interface.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Gallery 03 caption,Image caption,Product visuals lean into precision and trust.,"What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Gallery 03 alt text,Accessibility copy,Technical equipment and precision machinery.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Gallery 04 caption,Image caption,The interface direction makes complex features easier to scan.,"What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Gallery 04 alt text,Accessibility copy,Technical workspace with monitors and tools.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Gallery 05 caption,Image caption,The site balances clinical seriousness with accessible pacing.,"What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Vital View 3D Web Platform,/work/vital-view-3d-web/,src/content/projects/vital-view-3d-web.mdx,Gallery 05 alt text,Accessibility copy,Healthcare room with clean medical equipment.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Project title / naming,Visible headline,Wai Shield Care,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Hero dek,Visible body copy,"Branding and packaging for incontinence care products, built around dignity, clarity, and calm shelf communication.","In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Card summary,Visible card copy,"A personal-care packaging system designed for clarity, dignity, and practical retail navigation.",Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Role,Project fact,"Art direction, identity, and packaging",Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Client / context,Project fact,Wai Shield,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Location,Project fact,Hawaii,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Brief section,Case study body,"Create a brand and packaging system for incontinence products that communicates care, trust, and product clarity.","What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Concept section,Case study body,"Wai Shield Care uses calm color, clear product hierarchy, and restrained typography to make sensitive product decisions easier.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,System section,Case study body,"The project can include naming, packaging fronts, product-family color logic, claims hierarchy, and retail display behavior.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Outcome section,Case study body,"This page should show how packaging can be sensitive, useful, and visually confident at the same time.","What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Cover image alt text,Accessibility copy,Healthcare products and packaging in a clean setting.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Gallery 01 caption,Image caption,Packaging tone focuses on dignity and easy identification.,"What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Gallery 01 alt text,Accessibility copy,Healthcare and personal care products in a clean arrangement.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Gallery 02 caption,Image caption,Information hierarchy keeps product decisions clear.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Gallery 02 alt text,Accessibility copy,Printed design materials on a desk.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Gallery 03 caption,Image caption,The visual system avoids alarm and supports confidence.,"What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Gallery 03 alt text,Accessibility copy,Healthcare environment with calm clinical light.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Gallery 04 caption,Image caption,Product-family rules support size and need-state variations.,"What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Gallery 04 alt text,Accessibility copy,Medical products and clean healthcare context.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Gallery 05 caption,Image caption,"Color coding is functional, calm, and easy to scan.","What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Wai Shield Care,/work/wai-shield-care/,src/content/projects/wai-shield-care.mdx,Gallery 05 alt text,Accessibility copy,Products arranged by color in a retail-like setting.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Project title / naming,Visible headline,KTUH Radio System,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Hero dek,Visible body copy,A website and apparel direction for a campus radio station with an independent voice and flexible cultural programming.,"In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Card summary,Visible card copy,"A KTUH Radio website and apparel system built around music culture, campus energy, and flexible graphic expression.",Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Role,Project fact,Creative direction and graphic design,Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Client / context,Project fact,KTUH Radio,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Location,Project fact,Honolulu,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Brief section,Case study body,"Create a website and apparel direction for KTUH Radio that can support schedules, programming, events, and station merchandise.","What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Concept section,Case study body,"The direction treats the station as a living cultural platform, with strong type, expressive imagery, and flexible apparel graphics.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,System section,Case study body,"The project can include web modules, show pages, schedule logic, merch graphics, and campaign templates.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Outcome section,Case study body,This case study should show how a radio brand can feel useful online and expressive in physical merchandise.,"What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Cover image alt text,Accessibility copy,Microphone under stage light.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Gallery 01 caption,Image caption,Station identity balances local atmosphere and independent voice.,"What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Gallery 01 alt text,Accessibility copy,Atmospheric landscape with warm light.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Gallery 02 caption,Image caption,Music imagery shapes the apparel and campaign tone.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Gallery 02 alt text,Accessibility copy,Musician playing guitar in performance lighting.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Gallery 03 caption,Image caption,"The website needs to serve schedules, shows, and station culture.","What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Gallery 03 alt text,Accessibility copy,Laptop workspace for website design.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Gallery 04 caption,Image caption,Event energy becomes a flexible visual layer.,"What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Gallery 04 alt text,Accessibility copy,Audience and stage lights at a live event.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Gallery 05 caption,Image caption,Audio culture drives the graphic rhythm.,"What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,KTUH Radio System,/work/ktuh-radio-system/,src/content/projects/ktuh-radio-system.mdx,Gallery 05 alt text,Accessibility copy,Headphones against a colorful background.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Project title / naming,Visible headline,Rotary Hawaii Big West,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Hero dek,Visible body copy,"Branding and apparel for a regional Rotary Hawaii initiative, designed for event visibility, group identity, and flexible use.","In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Card summary,Visible card copy,"A Rotary Hawaii event and apparel identity built for visibility, consistency, and community use.",Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Role,Project fact,Creative direction and graphic design,Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Client / context,Project fact,Rotary Hawaii,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Location,Project fact,Hawaii,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Brief section,Case study body,"Create branding and apparel for a Rotary Hawaii regional initiative that needs to work across events, groups, and printed materials.","What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Concept section,Case study body,"The direction focuses on recognition at a distance, clear event hierarchy, and apparel that feels unified without becoming overly formal.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,System section,Case study body,"The project can include apparel graphics, event marks, print collateral, digital announcements, and badge-style identity elements.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Outcome section,Case study body,This page should show how event branding can bring people together while staying practical to produce.,"What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Cover image alt text,Accessibility copy,Group of people gathered outdoors at an event.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Gallery 01 caption,Image caption,"Event visibility guides scale, contrast, and apparel graphics.","What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Gallery 01 alt text,Accessibility copy,Crowd at an event with lights and atmosphere.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Gallery 02 caption,Image caption,Apparel applications need to work as a group system.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Gallery 02 alt text,Accessibility copy,Blank shirts hanging on a rack.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Gallery 03 caption,Image caption,Printed collateral supports event communication.,"What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Gallery 03 alt text,Accessibility copy,Printed materials and paper samples on a desk.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Gallery 04 caption,Image caption,The system supports civic presence and group recognition.,"What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Gallery 04 alt text,Accessibility copy,People gathered at a community event.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Gallery 05 caption,Image caption,Flexible assets help the initiative communicate across audiences.,"What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Rotary Hawaii Big West,/work/rotary-hawaii-big-west/,src/content/projects/rotary-hawaii-big-west.mdx,Gallery 05 alt text,Accessibility copy,Group collaborating together around a table.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Project title / naming,Visible headline,Home Art Prints,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Hero dek,Visible body copy,"A fine-art poster series for interiors, exploring composition, texture, and quiet graphic presence.","In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Card summary,Visible card copy,"A fine-art print and home poster series focused on composition, texture, and interior-scale visual presence.",Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Role,Project fact,Art direction and graphic design,Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Client / context,Project fact,Self-initiated,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Location,Project fact,Hawaii / Seattle,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Home Art Prints,/work/home-art-print-series/,src/content/projects/home-art-print-series.mdx,Brief section,Case study body,Create a poster and fine-art print series that can live comfortably in home interiors while still feeling graphic and intentional.,"What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
